[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 17004
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 9380
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 29760
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 18724
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 4052
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 27192
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 17224
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 32640
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 22384
[info] | 28-11-2023 03:42:39 => Worker server ON | PID - 20252
[info] | 28-11-2023 03:42:40 => Database connected | PID - 19596
[info] | 28-11-2023 03:42:40 => Database connected | PID - 1900
[info] | 28-11-2023 03:42:40 => Database connected | PID - 30220
[info] | 28-11-2023 03:42:41 => Database connected | PID - 600
[info] | 28-11-2023 03:42:41 => Database connected | PID - 32432
[info] | 28-11-2023 03:42:41 => Database connected | PID - 18724
[info] | 28-11-2023 03:42:41 => Database connected | PID - 23348
[info] | 28-11-2023 03:42:41 => Database connected | PID - 29760
[info] | 28-11-2023 03:42:41 => Database connected | PID - 17004
[info] | 28-11-2023 03:42:41 => Database connected | PID - 9380
[info] | 28-11-2023 03:42:41 => Database connected | PID - 22384
[info] | 28-11-2023 03:42:41 => Database connected | PID - 20252
[info] | 28-11-2023 03:42:41 => Database connected | PID - 32640
[info] | 28-11-2023 03:42:41 => Database connected | PID - 4052
[info] | 28-11-2023 03:42:41 => Database connected | PID - 17224
[info] | 28-11-2023 03:42:41 => Database connected | PID - 27192
[info] | 28-11-2023 03:44:41 => MASTER | PID - 31868 | CPU (cores) :: 16 | Server on port :: 8080
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 32348
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 10776
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 24264
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 19972
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 14620
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 24496
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 29932
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 11104
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 14440
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 12560
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 22256
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 27944
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 3460
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 32408
[info] | 28-11-2023 03:44:41 => NEW WORKER | PID - 12600
[info] | 28-11-2023 03:44:41 => ************** All workers deployed **************
